月份,業者名稱,車種,累計許可車輛數
108年9月,iRent,共享小客車, 250 
108年9月,iRent,共享機車, 600 
108年9月,WeMo Scooter,共享機車," 2,315 "
108年10月,iRent,共享小客車, 250 
108年10月,iRent,共享機車, 600 
108年10月,WeMo Scooter,共享機車," 2,315 "
108年10月,GoShare,共享機車," 1,869 "
108年11月,iRent,共享小客車, 500 
108年11月,iRent,共享機車, 600 
108年11月,WeMo Scooter,共享機車," 2,315 "
108年11月,GoShare,共享機車," 2,363 "
108年12月,iRent,共享小客車, 500 
108年12月,iRent,共享機車," 2,000 "
108年12月,WeMo Scooter,共享機車," 4,437 "
108年12月,GoShare,共享機車," 3,900 "
109年1月,iRent,共享小客車, 500 
109年1月,iRent,共享機車," 2,000 "
109年1月,WeMo Scooter,共享機車," 4,437 "
109年1月,GoShare,共享機車," 3,900 "
109年2月,iRent,共享小客車, 500 
109年2月,iRent,共享機車," 2,000 "
109年2月,WeMo Scooter,共享機車," 5,557 "
109年2月,GoShare,共享機車," 3,900 "
109年3月,iRent,共享小客車, 500 
109年3月,iRent,共享機車," 2,000 "
109年3月,WeMo Scooter,共享機車," 5,557 "
109年3月,GoShare,共享機車," 3,900 "
109年4月,iRent,共享小客車, 500 
109年4月,iRent,共享機車," 2,000 "
109年4月,WeMo Scooter,共享機車," 5,557 "
109年4月,GoShare,共享機車," 3,900 "
109年5月,iRent,共享小客車, 700 
109年5月,iRent,共享機車," 2,500 "
109年5月,WeMo Scooter,共享機車," 5,557 "
109年5月,GoShare,共享機車," 3,900 "
109年6月,iRent,共享小客車, 700 
109年6月,iRent,共享機車," 2,500 "
109年6月,WeMo Scooter,共享機車," 5,557 "
109年6月,GoShare,共享機車," 3,900 "
109年7月,iRent,共享小客車, 800 
109年7月,iRent,共享機車," 2,500 "
109年7月,WeMo Scooter,共享機車," 5,557 "
109年7月,GoShare,共享機車," 3,900 "
109年8月,iRent,共享小客車, 800 
109年8月,iRent,共享機車," 3,000 "
109年8月,WeMo Scooter,共享機車," 5,557 "
109年8月,GoShare,共享機車," 3,900 "
109年9月,iRent,共享小客車," 1,000 "
109年9月,iRent,共享機車," 3,000 "
109年9月,WeMo Scooter,共享機車," 5,557 "
109年9月,GoShare,共享機車," 3,900 "
109年10月,iRent,共享小客車," 1,000 "
109年10月,iRent,共享機車," 3,000 "
109年10月,WeMo Scooter,共享機車," 5,557 "
109年10月,GoShare,共享機車," 3,900 "
109年11月,iRent,共享小客車," 1,000 "
109年11月,iRent,共享機車," 3,000 "
109年11月,WeMo Scooter,共享機車," 5,557 "
109年11月,GoShare,共享機車," 4,399 "
109年12月,iRent,共享小客車," 1,000 "
109年12月,iRent,共享機車," 3,000 "
109年12月,WeMo Scooter,共享機車," 5,557 "
109年12月,GoShare,共享機車," 4,399 "
110年1月,iRent,共享小客車," 1,000 "
110年1月,iRent,共享機車," 3,000 "
110年1月,WeMo Scooter,共享機車," 5,557 "
110年1月,GoShare,共享機車," 4,399 "
110年2月,iRent,共享小客車," 1,000 "
110年2月,iRent,共享機車," 3,000 "
110年2月,WeMo Scooter,共享機車," 5,557 "
110年2月,GoShare,共享機車," 4,399 "
110年3月,iRent,共享小客車," 1,000 "
110年3月,iRent,共享機車," 3,000 "
110年3月,WeMo Scooter,共享機車," 5,557 "
110年3月,GoShare,共享機車," 4,399 "
110年4月,iRent,共享小客車," 1,000 "
110年4月,iRent,共享機車," 3,000 "
110年4月,WeMo Scooter,共享機車," 5,557 "
110年4月,GoShare,共享機車," 4,399 "
110年5月,iRent,共享小客車," 1,150 "
110年5月,iRent,共享機車," 3,000 "
110年5月,WeMo Scooter,共享機車," 5,557 "
110年5月,GoShare,共享機車," 4,399 "
110年6月,iRent,共享小客車," 1,150 "
110年6月,iRent,共享機車," 3,000 "
110年6月,WeMo Scooter,共享機車," 5,557 "
110年6月,GoShare,共享機車," 4,399 "
110年7月,iRent,共享小客車," 1,300 "
110年7月,iRent,共享機車," 3,600 "
110年7月,WeMo Scooter,共享機車," 5,557 "
110年7月,GoShare,共享機車," 4,399 "
110年8月,iRent,共享小客車," 1,300 "
110年8月,iRent,共享機車," 3,600 "
110年8月,WeMo Scooter,共享機車," 5,557 "
110年8月,GoShare,共享機車," 4,399 "
110年9月,iRent,共享小客車," 1,300 "
110年9月,iRent,共享機車," 3,600 "
110年9月,WeMo Scooter,共享機車," 5,557 "
110年9月,GoShare,共享機車," 4,399 "
110年10月,iRent,共享小客車," 1,450 "
110年10月,iRent,共享機車," 3,600 "
110年10月,WeMo Scooter,共享機車," 5,557 "
110年10月,GoShare,共享機車," 4,399 "
110年11月,iRent,共享小客車," 1,450 "
110年11月,iRent,共享機車," 3,600 "
110年11月,WeMo Scooter,共享機車," 5,489 "
110年11月,GoShare,共享機車," 4,999 "
